LOCATION,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
HRV,21942977.515762,78285830.264722,62182104.735296,84487670.694567,120338848.86391,316347223.13076,131624662.58652,171055471.61666,208594792.396,243785340.87272,242228556.76092,154541358.9264,158079066.78841,168323136.1258,143843733.39872,194959320.59215,212142396.21424,186536901.86537,208998548.62119,257380871.29647,245074862.09614,234388479.66023,172418412.73244,193310955.63554,256800841.17441
HUN,96821390.509499,91366130.372619,135382209.7727,157198393.0609,127753103.51649,106752616.32736,,,,254437858.07195,283406163.35938,1255479730.8169,1366964384.122,444228611.15249,453960552.38355,328639179.65316,256474884.53689,295796203.70505,370188266.48275,272792913.14377,282235255.20535,292602581.39087,369402387.86184,379716515.32973,375727022.16395
IND,,,,,,,,,,2379359311.0696,3773575886.2619,5155803009.685,5381615837.6547,5296159315.2439,6254548450.2332,9380190057.876,9299044764.1903,7763576019.2391,7040892842.2903,7232097268.0713,7488777127.2675,,,,
IRL,,,84000000.0,80000000.0,97000000.0,105000000.0,132000000.0,141000000.0,144000000.0,148000000.0,156000000.0,176000000.0,184000000.0,193000000.0,170000000.0,165000000.0,159000000.0,139000000.0,128000000.0,85000000.0,82000000.0,83000000.0,81000000.0,88000000.0,75000000.0
ISL,13840045.913053,16315198.771339,15933125.614426,16315772.959744,20963980.305779,24639056.416415,23235779.668521,24015537.008291,25922799.708556,26469079.823723,33548812.563743,32283484.293259,35516847.691576,52616079.316776,30022457.424225,28853328.400086,28979457.348977,29746314.334095,27800232.654429,32285309.151206,43390380.865047,45396545.138279,68009709.745015,83480690.587356,
ITA,4856000000.0,4927000000.0,5016000000.0,5799000000.0,8258000000.0,9720000000.0,5506000000.0,5896000000.0,11596000000.0,11241000000.0,12549000000.0,13452000000.0,9764000000.0,10756000000.0,6008000000.0,6437000000.0,6220000000.0,7196000000.0,9134000000.0,9564000000.0,9066000000.0,8446000000.0,8803000000.0,7352000000.0,
JPN,18758241027.911,16778609666.193,15979292687.336,15912403620.942,18484753116.055,22283760217.176,19840516920.189,17768892601.373,15466361779.952,14624128801.54,14014343818.252,11778583590.729,11373301293.932,10878548197.053,13529011467.209,13962828221.502,15681455308.086,17611048245.089,16256879830.095,14088902214.587,14437402241.108,16924776116.684,17221813043.757,16478060928.014,
KOR,,,,,,,1412149493.5676,1443320192.9168,1664408272.5526,1146714286.9938,1353275368.2007,1783381284.1766,1525932034.3584,1585724835.1299,1402354400.653,1444458294.7506,1499532729.5601,1605094348.9331,1664848921.0935,1648001111.0968,2207015179.9204,1932782313.6064,2217941277.3272,2193694734.7351,2472508137.887
LTU,11000000.0,27000000.0,60000000.0,60000000.0,67000000.0,61000000.0,74000000.0,107000000.0,122000000.0,122000000.0,125000000.0,161000000.0,125000000.0,134000000.0,125000000.0,160000000.0,153000000.0,123000000.0,127000000.0,143000000.0,159000000.0,152000000.0,151000000.0,144000000.0,147000000.0
LUX,22958034.253927,23037204.455142,22422397.973223,18665748.824365,28422617.606886,25765679.116706,30853950.902208,33120349.057923,43127097.057923,32047955.705338,34905083.435571,24226070.0,23060200.600899,26752214.933568,29624634.200051,33780302.616197,36920161.191974,33700350.686408,36653394.239239,35211218.197654,34782387.069797,45746554.97065,53574692.700985,67048893.240663,
LVA,9000000.0,22000000.0,29000000.0,45000000.0,56000000.0,29000000.0,25000000.0,25000000.0,50000000.0,61000000.0,70000000.0,113000000.0,202000000.0,231000000.0,131000000.0,113000000.0,126000000.0,120000000.0,133000000.0,154000000.0,171000000.0,175000000.0,177000000.0,200600000.0,179000000.0
MDA,14107249.086428,16424294.268606,17920805.292357,11239112.110143,5278933.4764909,6613699.0592883,6162980.4520676,8181265.6807592,7616097.8922449,10170154.508117,8353952.5036349,11035787.482264,11257261.535683,18128509.535465,17295455.425481,37007230.73734,36434445.553467,55120487.732801,63987178.643831,72023588.933825,41398542.426319,25629859.466717,29268386.304314,48724201.870364,34106099.959845
MEX,195903122.33113,260611549.77727,309227516.23444,366220638.24565,474170518.19769,473604115.84584,511202775.14859,565588795.29806,395775311.85765,376544796.42191,477918263.94216,471692182.73091,464566664.91535,691743091.18822,671356861.00718,801829837.95317,821485584.69646,823728027.14024,1098091965.0178,1124153851.1086,1090972445.0423,1093918584.7747,736045468.74528,801355554.23368,1279297031.2434
MLT,6392383.4171357,7268740.5830781,3332059.1660843,7619736.040305,11962324.45919,12093052.737102,10319835.765236,8809724.4958766,13281917.074307,5992084.9289541,7309526.9042628,6197516.7016073,12513432.005591,1142862.92,24808398.64,24893594.34,27148884.82,24241956.18,24938965.36,17228889.94,,,,,
NLD,,,475000000.0,494000000.0,521000000.0,524000000.0,549000000.0,639000000.0,587000000.0,611000000.0,725000000.0,1040000000.0,1091000000.0,1231000000.0,827000000.0,1209000000.0,323000000.0,,,,,,,,
NOR,475225062.14853,472663827.91816,474842218.17547,466215896.73271,476276384.62926,553261767.1346,608157636.44722,937936911.62568,843052690.79317,906365341.20092,991900560.34644,1054273392.7395,1109212676.0036,1148599358.0391,1220557235.8171,1361104171.8711,1615361913.4385,1746639020.8013,1840975772.2515,1990042010.2692,1948287238.4446,,,,
NZL,,,,288551553.80988,329444890.14586,326232217.04003,340018328.93409,368680429.68855,414752797.20136,480703517.65496,565924628.45913,539509702.35503,612197110.64584,576388463.04729,603995390.40591,746644260.19471,843808284.85672,995168835.21277,887540613.1854,928088558.27156,949898288.8467,898642898.91419,993351188.83288,1062923549.8246,1091764096.5579
POL,286317913.7893,97612297.980536,134098069.31093,110642647.24671,136036718.0846,448625180.89725,665831540.53539,791488257.42831,720733010.48132,1054013503.3758,1263610600.1094,1670303714.9239,1515423858.7402,2003925919.604,2339830939.0734,2636295369.2115,2679486245.66,428028583.03659,438159681.68497,383080415.82029,415511140.86258,418690989.09158,516645913.11703,464723278.41149,480977312.39092
PRT,125000000.0,152000000.0,126000000.0,197000000.0,210000000.0,128000000.0,229000000.0,181000000.0,221000000.0,233000000.0,177000000.0,203000000.0,192000000.0,141000000.0,124000000.0,102000000.0,,165000000.0,174000000.0,,,,,,
ROU,103780578.20608,,,,,,341407151.09573,234575012.80082,267930859.98881,379272054.28748,425408568.90459,1041028260.1294,1335570268.7318,,,,,,,,,,,,
SRB,,,,,23625843.780135,24678083.917388,61350003.114641,106853802.24879,99971419.176196,183721644.89577,259527057.20459,259667904.48156,300420598.84073,331268787.20604,258703639.8394,229023065.589,205257510.94007,208925522.0925,129162451.45133,142981460.7844,163039020.15844,180885522.57758,202667180.85378,297727424.56391,343219713.2367
SVK,25000000.0,45000000.0,56000000.0,51000000.0,54000000.0,67000000.0,68000000.0,69000000.0,72000000.0,82000000.0,100000000.0,130000000.0,156000000.0,161000000.0,192000000.0,175000000.0,157000000.0,193000000.0,204000000.0,181000000.0,201025000.0,215000000.0,230000000.0,295700000.0,
SVN,53000000.0,96000000.0,101000000.0,93000000.0,101000000.0,79000000.0,66000000.0,68000000.0,75000000.0,77000000.0,99000000.0,140000000.0,139000000.0,148000000.0,151000000.0,137000000.0,122000000.0,120000000.0,123000000.0,113000000.0,126000000.0,138000000.0,203000000.0,225000000.0,206000000.0
SWE,501837427.81534,558034665.78984,544412607.44986,736038614.80608,701459671.74411,747108064.26787,754994219.77808,805000545.91113,755994914.73412,758356164.38356,787707029.01908,809440956.19941,836134499.19478,858488702.18054,786789840.94697,873791492.52637,856484558.46515,958801842.25941,1043639096.006,1017489474.4363,1183601475.2258,1129994824.2899,1034876360.6554,1033080815.467,999839421.16051
TUR,16694490.81803,38759689.922481,75801749.271137,68259385.665529,107502799.55207,113063141.4159,103448275.86207,65450494.360117,98426357.046031,70957932.083122,88812064.135423,157166574.43276,278182021.71723,308829697.98658,410673819.544,359985981.07445,674518201.2848,699935191.186,630107781.59422,557963536.29171,239261367.39692,230053549.52583,229291017.61537,,
USA,14511197737.522,15397400551.398,17932645684.563,18860330209.728,21077052868.391,25946969696.97,26548682447.521,26366811302.783,22827836236.626,21047213062.012,23555591259.64,25001990921.398,22511308915.803,22645178838.569,23112753893.634,29785197467.591,29892218150.463,33972464219.042,34207950609.848,35252107164.359,39639509733.237,48263148382.433,,,
