LOCATION,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
DEU,1156000000.0,895000000.0,977000000.0,1115000000.0,1314000000.0,1411000000.0,1329000000.0,1010000000.0,1130000000.0,540000000.0,700000000.0,720000000.0,1620000000.0,1140000000.0,1510000000.0,1480000000.0,1815000000.0,1390000000.0,930000000.0,770000000.0,850000000.0,900000000.0,1110000000.0,1370000000.0,1880000000.0
DNK,47904355.065442,21060354.900948,34211335.177538,293074481.98619,135698531.38953,118060586.54646,62263492.659886,106049391.02348,18975332.068311,26613260.930926,35025564.636257,37135847.488303,64154184.785526,20118025.751073,91991996.024871,47937479.858202,31138013.877891,30763857.169725,79647085.64073,22535513.554843,9921432.976698,5909689.2040723,2823073.9242072,,
ESP,496000000.0,415000000.0,513000000.0,518000000.0,506000000.0,556000000.0,992000000.0,1387000000.0,2212000000.0,2020000000.0,1512000000.0,1829000000.0,2164000000.0,2132000000.0,1773000000.0,1744000000.0,1235000000.0,943000000.0,585000000.0,363000000.0,293000000.0,378000000.0,445000000.0,617000000.0,635000000.0
EST,2000000.0,0.0,0.0,4000000.0,0.0,1000000.0,1000000.0,0.0,0.0,6000000.0,4000000.0,10000000.0,31000000.0,56000000.0,19000000.0,3000000.0,6000000.0,482000.0,965000.0,135000.0,0.0,13817000.0,16500000.0,11000000.0,14000000.0
FIN,51000000.0,49000000.0,43000000.0,78000000.0,97000000.0,65000000.0,63000000.0,51000000.0,43000000.0,48000000.0,48000000.0,60000000.0,74000000.0,108000000.0,76000000.0,45000000.0,44000000.0,45000000.0,35000000.0,86000000.0,78866994.0,183000000.0,175500000.0,245400000.0,304000000.0
FRA,570000000.0,572000000.0,643000000.0,731000000.0,628000000.0,783170000.0,820940000.0,950659900.0,836646600.0,837600000.0,860200000.0,978000000.0,1052433365.3101,795291259.75644,693352000.0,758635000.0,948952000.0,616000000.0,431000000.0,390000000.0,512000000.0,774000000.0,801000000.0,936000000.0,1029000000.0
GBR,703256936.06755,779156937.44623,1127634998.5562,990831115.05472,1020934466.0194,1196062346.1854,1104679208.876,1358142493.6387,2085561497.3262,2203065134.0996,2601257493.7856,,,,,,,,,,,,,,
GEO,,7485963.8178415,1359064.9633052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3987594.1515286,55490915.600107,27536168.538835,0.0,139622.8036259,8281626.9522157,9766866.9820569,38455092.793217,12799256.84544,6338829.9006439,10982036.006677,55855122.491878,36281346.851617,18155366.399251,18289849.800241
GRC,,,,,,52000000.0,51000000.0,64000000.0,91000000.0,94000000.0,91000000.0,66000000.0,37000000.0,45000000.0,51000000.0,29446187.43,44632982.99,56922289.35,102537266.36422,52872584.86,45342622.499473,42844720.725917,20645472.033998,27169187.84182,20682839.024519
HRV,6582893.2547287,15512192.293195,12321799.555842,11087252.466563,17681365.951495,5364034.8008111,6948713.1517759,9308223.6132096,30516400.914171,11869198.762403,19048648.356547,24300673.046731,19896158.406127,20625121.120678,27924209.608652,28125728.867974,18552376.855238,15555821.467034,16097110.436733,77934665.863307,139742579.45889,175857721.14938,65778897.165211,98407948.126879,114717856.08369
HUN,33393809.99311,29829098.210461,46432018.665454,26603381.163658,17884168.356496,26755446.452192,16756019.112773,46935154.966295,45550341.450061,20362813.142295,115068619.06772,9230215.8954313,2478878.7987425,,56919311.992039,50630597.827222,37900522.108747,25798252.618634,11913495.916189,7622778.0444529,10194998.317533,17819438.384678,55947922.948209,54284064.9259,102536414.14036
IND,,,,,,,,,,4120533.2708907,63402584.82942,3850986.7195118,17048208.216533,21460335.757565,132628124.65705,207693133.31297,188917906.12454,875593469.72665,781478685.19779,718874988.42989,475092045.39519,241562306.03102,,,
IRL,,,,,,,107000000.0,75000000.0,48000000.0,80000000.0,105000000.0,147000000.0,271000000.0,403000000.0,509000000.0,243000000.0,83000000.0,,,,,,,,
ISL,,,,4254651.5641179,5610261.7258357,12340187.003414,10330826.706388,5162760.3713475,4306995.2299739,2833924.0210055,7284885.0138413,4976325.4448516,5029842.5921596,11724747.226858,5315812.6005048,1893133.5368298,1653668.5428889,1876621.4599742,1139858.8300243,286693.54526271,537767.39749279,553160.60270585,565986.84620013,76745.85063378,1649524.1953287
