LOCATION,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ITA,,57500.0,59900.0,61900.0,62400.0,62800.0,66700.0,74400.0,88000.0,112700.0,119600.0,129136.0,137071.0,143441.0,140494.0,144129.0,150648.0,157630.0,164026.0,167228.0,177945.0,182746.0,184929.0,179381.0,187148.0,174431.567,175450.034,173352.629,191481.711,177358.964,185101.031,186509.579,192677.602,143180.122,196975.94,211799.74,187012.093,179410.771,180460.929,163762.259,175775.458,142885.445,124010.078023,127241.281375,117813.399528,116820.346449,112638.492035,119687.0,124915.274846,137986.0,133265.0
JPN,135916.0,142668.0,153610.0,140979.0,130770.0,129702.0,132619.0,143095.0,156065.0,172888.0,178901.0,181310.0,187719.0,193527.0,200814.0,205942.0,216116.0,226425.0,246089.0,262857.0,274244.0,283776.0,281598.0,275885.0,280587.0,294648.0,305510.0,306263.0,300670.0,307149.0,313118.0,313072.0,312028.0,321862.0,327632.0,334979.0,346534.0,354800.0,346420.0,334667.0,246175.0,233956.0,209956.0,214092.0,210008.0,204316.0,210314.0,210829.0,210467.0,213836.0,
KAZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62573.7,63476.8,66235.5,80219.6,121034.9,132265.3,145202.6,155069.4,159353.2,160837.7,161852.2,172679.1,182695.7,160685.5
KOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90875.0,91994.0,98373.0,101057.0,100869.0,109008.0,105222.0,101437.0,99089.0,102808.0,104476.0,111529.0,118582.0,124650.0,132382.0,135259.0,140374.0,143530.0,139862.0,
LIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390.0,340.0,340.0,330.0,264.0,305.0,312.0,281.0,318.0,,,,,,,
LTU,3398.0,3810.0,4090.0,4561.0,5027.0,5513.0,5947.0,6258.0,6515.0,6717.0,6921.0,7331.0,7683.0,7523.0,7393.0,7369.0,7566.0,7881.0,8090.0,8113.0,7336.0,7019.0,4989.0,6906.0,4574.0,5160.0,4191.0,5146.0,5611.0,7740.0,7769.0,8274.0,10709.0,11463.0,12279.0,15908.0,18135.0,20278.0,20419.0,17757.0,19398.0,21512.0,23449.0,26338.0,28067.0,26485.0,30974.0,39099.0,43591.0,53117.0,55292.0
LUX,141.0,166.0,184.0,207.0,227.0,222.0,223.0,256.0,259.0,278.0,278.0,270.0,263.0,274.0,263.0,206.0,239.0,275.0,311.0,347.0,383.0,420.0,453.0,484.0,3490.0,3872.0,3126.0,4188.0,4602.0,6311.0,7609.0,8777.0,9431.0,9643.0,9954.0,8915.0,8879.0,9222.0,9566.0,8400.0,8657.0,8837.0,6550.0,7214.0,7912.0,7095.0,6448.0,6418.0,6968.0,7540.0,
LVA,2760.0,3094.0,3229.0,3678.0,4069.0,4424.0,4651.0,4876.0,5005.0,4981.0,5133.0,5254.0,5436.0,5555.0,5569.0,5554.0,5716.0,5922.0,6059.0,6015.0,5853.0,4866.0,2500.0,1253.0,1402.0,1834.0,2208.0,3352.0,4108.0,4035.0,4788.0,5360.0,6160.0,6763.0,7309.0,8547.0,10937.0,13142.0,12344.0,8115.0,10590.0,12131.0,12178.0,12816.0,13670.0,14690.0,14227.0,14972.0,14997.0,14965.0,13705.0
MDA,3172.0,3446.0,3740.0,4242.0,4649.0,4945.0,5302.0,5528.0,5388.0,5543.0,5573.0,5645.0,6310.0,6461.0,6258.0,6159.0,6105.0,5887.0,6082.0,6345.0,6305.0,7229.0,2769.0,1699.0,1250.0,1121.0,944.0,946.0,940.0,952.0,1001.0,964.0,1152.0,1459.0,2161.0,2405.0,2567.0,2743.0,2966.0,2714.0,3233.0,3597.0,3954.0,4423.0,4306.0,4217.0,4693.0,5008.0,5289.9,5566.5,5551.0
MEX,42864.0,44938.0,46693.0,48778.0,50930.0,53158.0,54906.0,57738.0,62637.0,70140.0,82247.0,93396.0,93986.0,94278.0,96034.0,99997.0,98272.0,101482.0,102921.0,107243.0,108884.0,124924.0,134298.0,140229.0,158320.0,162827.0,170838.0,154083.0,179085.0,197958.0,194053.0,191901.0,192900.0,195200.0,199800.0,204217.0,209392.0,222391.0,227290.0,211600.0,220285.0,226900.0,233464.0,235427.0,239710.0,245136.0,251122.0,256136.0,260642.0,258684.0,240394.0
MKD,756.0,899.0,1020.0,1063.0,1356.0,1450.0,1535.0,1770.0,2019.0,2387.0,2534.0,2270.0,2154.0,2095.0,2244.0,2464.0,3075.0,2849.0,2450.0,2655.0,2189.0,1708.0,1425.0,1293.0,1498.0,1174.0,796.0,896.0,894.0,839.0,776.0,3131.0,3679.0,5450.0,5341.0,5576.0,8299.0,5938.0,3978.0,4035.0,4235.0,8933.0,8965.0,7466.0,10622.0,10192.0,10590.0,10850.0,10639.0,10267.0,10644.0
MNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,71.0,71.0,65.0,61.0,73.0,92.0,137.0,179.0,167.0,102.0,76.0,67.0,122.0,140.0,121.0,103.0,,,
NLD,16837.0,17798.0,18984.0,20578.0,21253.0,20985.0,22656.0,23493.0,22586.0,23073.0,23905.0,23968.0,24089.0,23395.0,24822.0,24982.0,26078.0,27427.0,30054.0,29900.0,31029.0,31684.0,34941.0,35561.0,35353.0,37181.0,38051.0,39028.0,40316.0,45094.0,43413.0,42725.0,41430.0,43960.0,46845.0,46327.0,45586.0,44923.0,47094.0,45902.0,40457.0,40154.0,38477.0,42001.0,42184.0,41650.0,42966.0,42455.0,42733.0,44418.0,43823.0
NOR,3194.0,3455.0,3736.0,4069.0,4297.0,4569.0,4858.0,4894.0,4930.0,5112.0,5252.0,5115.0,5424.0,5695.0,6287.0,6418.0,7192.0,7652.0,8122.0,8191.0,8231.0,8286.0,8348.0,8266.0,8714.0,9654.0,10651.0,11838.0,12636.0,12796.0,13017.0,13287.0,13614.0,14115.0,14966.0,15875.0,15862.0,16244.0,17564.0,16109.0,17334.0,17167.0,18086.0,19712.0,20297.0,19730.0,19676.0,20075.0,19982.0,20526.0,20229.0
NZL,,,,,,,,,,,,,,,,,,,,,,,8267.0,9064.0,9610.0,10277.0,10900.0,11263.0,11334.0,12434.0,13138.0,17748.22,17940.44,18407.26,20468.82,20295.17,20198.88,20825.61,22211.15,18810.94,21268.06,21573.61,21765.09,21826.72,24068.19,23842.75,24444.31,26379.88,26961.25,27162.88,27502.42
POL,15761.0,17930.0,21393.0,24549.0,28515.0,32596.0,36779.0,40277.0,42601.0,44088.0,44546.0,36847.0,34024.0,35472.0,36577.0,36592.0,37340.0,37183.0,39240.0,38448.0,40293.0,39641.0,42335.0,40744.0,45365.0,51200.0,56513.0,63688.0,69542.0,70452.0,75023.0,77228.0,80318.0,85989.0,110481.0,119740.0,136490.0,159527.0,174223.0,191484.0,214204.0,218888.0,233310.0,259708.0,262860.0,273107.0,303560.0,348559.0,377778.0,395311.0,461582.0
PRT,,,,,,,,,,9800.0,11800.0,,,,,,,8562.0,9370.0,10056.0,10922.0,11707.0,10663.0,9951.0,11190.0,11119.0,23238.0,24859.0,25566.0,26950.0,27137.0,30252.0,30056.0,27440.0,40880.0,42657.0,45032.0,46406.0,38950.0,35356.0,34640.0,37472.0,32274.0,39624.0,36336.0,32525.0,34683.0,34072.896301666,32675.88220806,31087.232542832,24207.429302532
ROU,5156.0,5496.0,5738.0,6003.0,6446.0,9290.0,9857.0,10004.0,10455.0,11483.0,27727.0,27754.0,27783.0,27812.0,27841.0,27870.0,30399.0,29635.0,29785.0,30028.0,28993.0,20692.0,15744.0,15354.0,18321.0,19748.0,19807.0,21750.0,15785.0,13456.0,14288.0,18544.0,25350.0,30853.0,37220.0,51532.0,57278.0,59517.0,56377.0,34265.0,25883.0,26347.0,29662.0,34026.0,35135.0,39022.0,48175.0,54704.0,58761.0,61041.0,
RUS,116425.0,127671.0,137569.0,152462.0,168635.0,183697.0,192716.0,202925.0,216948.0,224686.0,241371.0,258122.0,274187.0,270224.0,263078.0,265047.0,274745.0,277438.0,286952.0,295766.0,299362.0,300160.0,257220.0,207216.0,182000.0,156483.0,147017.0,137121.0,125816.0,140013.0,152735.0,159852.0,167238.0,173146.0,182141.0,193597.0,198766.0,205849.0,216276.0,180136.0,199341.0,222823.0,248862.0,250054.0,246784.0,241512.0,240715.0,245818.0,248990.0,263878.0,258532.0
SRB,3468.0,4542.0,4302.0,4274.0,4664.0,4965.0,5310.0,6022.0,7334.0,7121.0,9052.0,9714.0,10305.0,10596.0,11096.0,11375.0,12387.0,13224.0,12963.0,13289.0,8567.0,8150.0,7108.0,3625.0,3572.0,4534.0,4844.0,968.0,875.0,552.0,582.0,475.0,459.0,452.0,277.0,680.0,798.0,1161.0,1112.0,1185.0,1689.0,1907.0,2474.0,2824.0,2959.0,2973.0,4299.0,4980.0,6443.0,8175.0,7741.0
SVK,,,,,,,,,,,,,,,,,,,,,,,,6833.0,11929.0,26536.0,15850.0,15350.0,17914.0,18516.0,14341.0,13799.0,14929.0,16859.0,18517.0,22550.0,22114.0,27050.0,29094.0,27484.0,27411.0,29045.0,29504.0,30005.0,31304.0,33525.0,36106.0,35362.0,35590.0,33888.0,31591.0
SVN,2127.0,2480.0,2950.0,3066.0,3115.0,3120.0,3448.0,3597.0,4208.0,3855.0,3914.0,3986.0,4275.0,4118.0,4477.0,4685.0,4821.0,5237.0,5423.0,5436.0,4887.0,4322.0,1435.0,1428.0,1557.0,1702.0,1787.0,1796.0,1864.0,1894.0,1937.0,1927.0,1945.0,1995.0,2267.0,2361.0,2279.0,2572.0,2635.0,2276.0,2289.0,2176.0,1849.0,1889.0,2062.0,2069.0,2135.0,2311.0,2256.0,2306.0,2274.0
SWE,17500.0,18700.0,19100.0,21600.0,22500.0,21500.0,22000.0,21500.0,21900.0,24200.0,23000.0,22800.0,23000.0,23600.0,25400.0,23800.0,25400.0,25800.0,27400.0,28500.0,29200.0,28000.0,26800.0,28600.0,29800.0,32400.0,34500.0,36800.0,36500.0,37200.0,35552.0,34161.0,36620.0,36603.0,36926.0,38556.0,39899.0,40525.0,42367.0,35041.093,36273.149,36946.096,41011.0,42090.0,41956.0,41498.0,42685.0,41848.0,43474.0,42600.0,43184.0
TUR,17447.0,17716.0,18777.0,21159.0,25874.0,29424.0,33812.0,38013.0,41404.0,37119.0,37507.0,39007.0,40567.0,42189.0,43878.0,45634.0,54018.0,58832.0,65459.0,68239.0,65710.0,61969.0,67704.0,97843.0,95020.0,112515.0,135781.0,139789.0,152210.0,150974.0,161552.0,151421.0,150912.0,152163.0,156853.0,166831.0,177399.0,181330.0,181935.0,176455.0,190365.0,203072.0,216123.0,224048.0,234492.0,244329.0,253139.0,262739.0,266502.0,267579.0,272913.0
UKR,,,,,,,,,,,,,,,,,,,,,14794.0,13499.0,9259.0,5940.0,3527.0,3567.0,6461.0,8372.0,8510.0,2519.0,2490.0,2988.0,4087.0,5334.0,7981.0,9180.0,11337.0,14284.0,19800.0,49232.0,53918.0,57308.0,57453.0,58683.0,55964.0,53293.0,58030.0,62297.0,72068.0,64953.0,65177.0
USA,,,,,,,,,,,1847721.0,1943415.0,2008758.0,1780783.0,2152504.0,2226672.0,2221716.0,2145490.0,2016457.0,2264449.0,2374398.0,2343179.0,2344910.0,2266201.0,2420890.0,2178104.0,2293964.0,2619553.0,2772912.0,2815102.0,2877733.0,2956917.0,3197247.0,3251349.0,3283857.0,3226694.0,3146073.0,3211600.0,2690941.0,2957561.0,2637202.0,2379954.0,2660295.0,2926454.0,2856882.0,2899252.0,3008681.0,2952877.0,3022801.0,,
