LOCATION,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
GBR,,,,,,,,,,,,,3565481532.6183,1152278694.2875,2182293685.103,2084267070.6129,1840178612.5835,1951583035.384,2046855864.3429,1069646577.381,5471104683.1956,5170848699.4749,5182066879.7078,6836413878.8427,6934363387.6667
GEO,,,,,,,,101268264.45484,103475285.4846,90680100.755668,101019051.83872,94424057.996957,133310022.29118,132973862.18242,,20540883.284781,18364475.840419,20198396.120074,22510146.124793,22879911.618864,21784760.868157,20357733.392285,18753844.82801,19499384.86071,19533154.927389
HRV,42715662.897351,46971498.158833,45848556.486854,57541436.851782,70989364.790331,47752992.738929,83250928.722239,92677530.757608,103174498.32886,113357516.27014,106591372.71855,107714781.08916,112154372.38522,105755654.60535,76416983.368068,89865133.700111,86846633.684663,102242963.31751,102124290.80354,105702983.78435,100735487.26031,87729776.362068,90965114.409732,96655477.81777,100833086.19342
HUN,137804150.40825,,,,63714328.107226,78605179.128445,,,,211158440.32051,233910772.83684,1237219955.8933,1287815335.8642,457985004.22067,398432760.32796,439735078.17315,435090043.32104,434792526.86087,418191100.71772,490151331.34461,473250026.21835,549990367.94452,621384054.51503,636089861.20913,669318527.02758
IND,,,,,,8436042346.6886,8588512806.1444,8493528320.9179,7682800247.5926,7774487192.5301,8814254711.0082,8850710468.364,9706454764.3285,11395909942.998,12444232691.502,14916471957.794,15326650847.797,16388652151.392,16900302525.71,17805623291.846,20958444593.89,21595199146.32,,,
IRL,10000000.0,38000000.0,36000000.0,42000000.0,63000000.0,115000000.0,187000000.0,128000000.0,126000000.0,121000000.0,127000000.0,135000000.0,144000000.0,,,,,,,,,,,,
ISL,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,2155000000.0,2225000000.0,2297000000.0,2210000000.0,3531000000.0,5363000000.0,5234000000.0,5619000000.0,7324000000.0,7807000000.0,8919000000.0,9492000000.0,8282000000.0,8036000000.0,7832000000.0,7829000000.0,7675000000.0,7477000000.0,7205000000.0,7194000000.0,1741000000.0,1668000000.0,2309000000.0,4190000000.0,
KOR,,,,,,,,,,,,,,,753982459.6663,885517440.41322,836981700.96356,981477875.42838,1036196464.8558,1153550666.9655,1455375425.9874,1407944640.2624,1419569700.6163,1530937349.9346,1651156478.4207
LTU,28000000.0,35000000.0,39000000.0,39000000.0,41000000.0,48000000.0,49000000.0,75000000.0,93000000.0,96000000.0,105000000.0,105000000.0,115000000.0,166000000.0,132000000.0,143000000.0,151000000.0,156000000.0,153000000.0,155000000.0,161000000.0,167000000.0,180000000.0,156000000.0,162000000.0
LUX,81128287.378005,87429790.356446,64636600.487359,64448796.352991,66931251.688775,87965845.0,109775085.0,100177000.0,94875000.0,114935000.0,112220000.0,127406587.0,108263825.0,115002390.0,125548750.0,119976343.0,124422705.0,132406033.0,139474359.0,142745509.0,152571676.0,153042630.0,150374419.0,158292228.0,
LVA,23000000.0,20000000.0,22000000.0,21000000.0,20000000.0,31000000.0,31000000.0,35000000.0,33000000.0,48000000.0,52000000.0,61000000.0,85000000.0,129000000.0,133000000.0,98000000.0,109000000.0,112000000.0,110000000.0,119000000.0,117000000.0,108000000.0,105000000.0,112000000.0,113200000.0
MLT,,,,,,,,,,,,,,,,,,,,,,,,,
NLD,,,635000000.0,607000000.0,599000000.0,604000000.0,594000000.0,655000000.0,912000000.0,1037000000.0,1118000000.0,1547000000.0,1367000000.0,1175000000.0,1410000000.0,1690000000.0,1798000000.0,1798000000.0,1798000000.0,,,,,,
NOR,219993724.80873,249142885.03069,294484496.22072,299541349.47279,315954056.16694,336098204.27179,382164022.413,418769390.55405,388899306.20664,353085918.36978,359545233.31129,404160918.68312,421785166.43179,449129462.11458,541655210.33819,677866600.04996,730499275.01828,756471139.05424,712995349.19476,800947924.02245,837312815.23648,972806611.6414,645434470.33853,710893069.18318,756977369.86913
NZL,,,,,,,,,,,,,,29364481.092889,140958617.51745,148741761.12639,178168961.67152,86229175.465026,53868393.091008,54981922.169111,69788913.555955,75085436.027499,73454002.731775,71962823.131984,80631634.085405
POL,584618295.3363,,,118052893.82905,82804958.834106,59384200.808424,45205740.584407,38925652.004671,67980810.767797,76783901.857817,82285089.245761,66750532.720598,100446723.58648,35560865.978208,157051134.00157,212765957.44681,238667540.72887,307339339.91349,387172095.01799,614171346.6364,578798890.69523,729443578.69649,796936306.18143,716565741.91428,916114019.77894
PRT,49000000.0,43000000.0,44000000.0,40000000.0,41000000.0,52000000.0,56000000.0,54000000.0,56000000.0,91000000.0,100000000.0,115000000.0,122000000.0,122000000.0,127000000.0,135000000.0,,,,,,,,,
ROU,200148257.96887,,,,,,13071895.424837,64324116.743472,18909633.259648,20234423.195558,57696554.770318,38304392.236977,96168249.498187,,,,,,,,,,,,
SRB,,,,,9467870.6057684,8807933.4881996,9966850.1218077,15158904.867986,24309066.26756,22062582.769137,22427966.152843,18080175.242277,20179742.239426,20948348.690544,15838346.680972,13490239.986315,17408002.385142,15810388.646972,8958069.513912,9248278.745169,8840912.4617094,7043689.5609596,12434428.782613,16270736.944298,35781758.432392
SVK,6000000.0,5000000.0,4000000.0,6000000.0,4000000.0,8000000.0,5000000.0,9000000.0,8000000.0,9000000.0,10000000.0,10000000.0,15000000.0,15000000.0,15000000.0,12000000.0,6000000.0,9000000.0,7000000.0,8000000.0,10500000.0,9500000.0,13100000.0,15100000.0,
SVN,,,,,,7000000.0,5000000.0,3000000.0,3000000.0,3000000.0,7000000.0,8000000.0,70000000.0,112000000.0,102000000.0,68000000.0,81000000.0,87000000.0,71000000.0,101000000.0,110000000.0,89800000.0,133000000.0,123000000.0,121000000.0
SWE,258204141.98014,264455822.25563,271282003.88206,229219284.95257,242105741.07285,305000059.20032,300787622.76219,371983841.03068,455372408.04875,316202739.72603,313790799.66811,320058789.83714,347294127.81963,381183125.53942,380465387.83889,499743372.19412,562242456.46684,612826903.41921,638564244.84134,683298706.15265,668088085.94794,666578644.38647,672860567.19484,713738336.89198,664862516.17596
TUR,83472454.09015,77519379.844961,93294460.641399,102389078.49829,116461366.18141,149591233.25796,108892921.96007,111405096.78318,123180291.15342,136847440.44602,163914883.47142,180409518.53901,191425053.17363,206585570.4698,183600795.44929,236319030.69143,208565310.49251,209116439.83582,188716490.97872,173030615.75507,174068436.0315,171717473.89835,198476245.93585,,
