LOCATION,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
KAZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25000.0,22000.0
KOR,,,,,,,,,,,,,,,,,,,,,,,,1589812.5,1946875.0,2276840.0,2485420.0,2778363.5,3091761.0,3535360.5,4033321.5,5068819.0,6032204.0,6693324.5,7377862.5,7728339.5,8115654.0,8912686.0,9103598.5,8303645.5,9841337.0,10979393.5,11460488.0,11930319.0,12608205.5,13055079.0,13221203.5,13974796.5,14766609.5,29225619.0,
LTU,,,4.0,14.0,111.0,93.5,96.5,118.5,133.0,129.0,242.5,166.0,213.0,87.5,370.0,530.0,989.0,998.0,499.0,875.0,822.5,1200.0,970.0,637.5,3545.0,15140.0,19814.0,18512.5,16305.5,14472.0,20134.5,26036.5,36097.0,59613.0,87698.0,107851.0,116594.5,161843.5,187916.5,125152.5,149057.5,192827.0,192463.5,203222.5,227422.5,177001.5,223029.0,239450.0,378008.0,355939.0,322482.0
LVA,,,,,,,,,,,,,,,,,,,,,,,,681.0,1040.0,1236.0,52537.5,48738.0,46666.0,33702.0,34424.5,38519.0,43130.0,56823.5,59641.0,61945.0,75828.5,88790.5,84728.0,73605.0,105534.5,124820.0,185250.5,194807.5,197702.5,181815.5,196290.35,227364.85,239714.3,237480.0,231331.0
MEX,,,,,,,,,,,,,,,,55933.5,61718.0,83171.5,111107.0,116539.5,139847.0,153668.5,176355.0,237740.5,281609.5,291824.5,350393.5,462272.0,517183.5,572294.5,673663.5,695635.0,801112.5,862908.0,974768.5,1092339.5,1370508.5,1567970.5,1697836.5,1476857.5,1889983.5,2162499.0,2497585.5,2496144.0,2590021.25281394,2819322.000572275,2908429.2491882,6371628.0,6987387.0,7105873.0,6461476.0
MLT,,,,,,,,,,,691.0,915.0,660.0,613.0,12203.0,13260.5,14098.0,15192.5,17010.5,18183.5,63797.0,93847.5,141727.5,156189.0,203216.0,262120.0,313772.0,348409.0,558273.5,543041.0,537943.0,578151.0,615980.0,752336.0,761840.5,665990.0,,,,,,,,,,,,,,,
NLD,,,,506574.0,540628.0,567480.5,653523.5,705243.0,839512.0,932951.5,1027651.0,1118804.5,1157324.0,1204614.0,1334944.0,1401530.5,1502932.5,1489159.0,1654641.5,1823715.5,1864150.0,1917999.5,2085150.0,2117152.0,2287408.0,2365629.5,2555321.0,2842936.0,3061141.0,3180704.5,3203438.0,3108882.0,3337436.0,3653706.0,4225232.0,4725501.5,5090340.0,5693367.5,5646263.0,5018828.5,5664866.5,6113890.0,6117930.0,5959884.0,6364655.0,6325521.0,6418508.5,7085690.0,7497246.0,7853965.0,7388306.0
NOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263046.5,273938.0,282329.5,301818.5,320240.5,314761.5,295013.5,330575.5,348121.0,359896.5,367775.5,383768.5,388181.5,370511.5,392013.5,408656.5,428997.0,465856.558
NZL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2414660.0,2503739.0,2672032.0,2777811.0,2869420.0,3120030.0,3176020.0,3238832.0,3048677.0
POL,,,,,,,,,,,42301.5,39175.5,41595.5,47289.5,51274.0,44965.5,49647.5,58586.5,69769.0,60083.5,57099.5,68560.0,57621.5,64256.0,70011.0,79054.5,85969.5,93453.0,110225.5,80039.0,85252.5,96650.5,109869.5,136085.0,175655.5,200345.5,230305.0,384522.0,432396.0,333055.0,524758.5,670015.5,829833.5,996381.5,1135754.5,903492.178,1160576.3895,1136795.0,1336291.0,1389111.5,1314487.0
PRT,12237.5,22162.5,29476.0,48008.0,54144.5,50131.0,67534.0,68429.0,63843.5,77398.5,89118.5,91717.0,97465.0,105720.5,120604.0,134156.5,147073.5,173756.0,190262.0,190258.0,207828.5,221239.5,236288.5,222825.5,226737.5,237367.0,259310.5,277648.0,296461.5,311517.0,389528.5,374558.0,460210.0,502762.0,586941.5,600281.0,662186.5,725450.0,780620.0,760401.5,852040.0,903787.5,1005572.5,1220193.5,1365289.0,1388897.0,1474372.783,1598401.126,1609849.988,1470015.0,1505825.5
ROU,,,,1356.5,4320.0,5432.5,7145.5,6752.5,7212.5,10178.5,12288.0,15785.5,15014.0,14883.5,18986.0,21150.5,15233.0,19525.0,19946.0,16930.0,17202.0,25355.5,29272.5,15306.0,18328.5,34617.0,43561.5,31860.5,46409.5,39950.0,44161.0,63298.5,61836.0,82073.0,107211.0,239048.5,340227.5,480312.5,708229.5,306316.0,276421.5,329264.5,340366.0,332315.0,334351.0,347541.5,355794.5,348558.5,336606.0,334972.5,
RUS,,,,,,,,,,,4500.0,,,,,5800.0,,,,,7100.0,7214.0,7066.0,7060.0,6605.0,5121.0,3225.0,3115.0,2646.0,2291.0,1996.0,2603.0,2688.0,2009.0,2332.0,3077.0,3130.0,30297.0,1259153.0,905899.0,1243881.5,1533845.0,1706856.0,1773213.5,1832010.0,1473325.0,1550755.0,1784286.0,1970872.5,2062126.0,2090223.5
SVN,,,,,2068.0,5851.0,15459.0,22689.0,37204.0,31022.0,37831.0,49023.0,40834.0,42712.0,46247.0,47092.0,50287.0,33966.0,45245.5,42010.5,47803.0,31653.0,23662.5,30833.5,31101.5,29637.5,31286.5,33952.5,36838.5,39572.0,43837.0,47105.0,58066.5,63778.0,77490.0,90774.0,110558.0,154143.0,178455.0,168828.5,242315.5,295746.5,280410.0,300735.0,341196.0,404956.5,426632.5,464070.0,494679.0,471513.0,463087.0
SWE,,1700.0,2000.0,2800.0,2700.0,2500.0,2500.0,2700.0,2800.0,3300.0,3100.0,3300.0,3700.0,3900.0,121246.0,172067.0,178390.0,192154.0,199109.5,208778.0,226109.5,221840.0,237184.5,237866.5,5269.0,5461.0,277033.5,323688.5,320326.0,349790.5,370614.5,361861.0,398969.5,387634.5,431132.0,467607.0,503128.5,549385.5,546601.5,503654.5,542090.0,589524.0,582275.5,580026.0,584400.0,564351.5,585482.5,597093.0,616898.5,625580.625,611435.758
TUR,,,,,,,,,,,33199.5,56044.5,77207.0,50197.5,59088.5,58149.5,60426.0,53892.5,68528.0,81653.0,177800.0,199906.5,230275.0,288609.0,296910.5,361050.5,441274.5,505755.0,491015.0,515504.0,574631.0,467021.0,987107.0,1259375.0,1485140.5,1586393.5,1858566.5,2254520.5,2572075.5,2225236.0,2902315.0,3296943.5,3635853.5,3992294.5,4219630.0,4116711.5,4428451.49999995,5059227.0,5479114.5,5855303.0,5874180.5
UKR,,,,,,,,,,,,,,,,,,,,,,,,45584.0,37281.5,42697.5,48824.0,49135.5,48225.5,41209.5,55353.0,58040.5,75486.5,162706.5,207946.0,,,270480.5,,516712.0,333220.0,368577.5,350365.0,,,,,,,,
USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,125254.0,128364.0,135903.0,144417.0,144141.0,153917.0,12795083.5,15056878.0,15131851.0,15768329.0,16400495.0,16118223.5,14336355.5,15868555.0,16492610.0,16740967.0,17370991.0,18066433.5,17964829.0,18390125.0,289042.0,,,
