LOCATION,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
IND,,,,,,,,,,,,,,,,,,,,,295640.0,314560.0,300100.0,296240.0,319360.0,342000.0,357010.0,379900.0,403880.0,430670.0,458000.0,490900.0,515000.0,541200.0,575700.0,615614.0,695764.0,769956.0,838032.0,903465.0,978508.0,1046522.0,1098103.0,1140412.0,1147190.0,1143039.0,1149835.0,1161333.0,,,
IRL,755.0,783.0,844.0,875.0,923.0,899.0,788.0,876.0,966.0,1113.0,1032.0,995.0,887.0,846.0,903.0,1023.0,1075.0,1196.0,1180.0,1220.0,1226.0,1290.0,1226.0,1274.0,1260.0,1291.0,1295.0,1387.0,1421.0,1458.0,1389.0,1515.0,1628.0,1601.0,1582.0,1781.0,1872.0,2007.0,1976.0,1683.0,1678.0,1638.0,1578.0,1592.0,1863.0,1917.0,1990.0,2121.0,2281.0,2399.0,
ISR,,371.4,387.8,354.7,322.5,307.1,295.5,245.3,220.8,228.7,264.0,245.8,220.7,212.0,214.5,204.0,178.8,172.9,165.5,151.3,170.0,186.2,198.0,214.0,238.0,267.0,213.6,346.0,382.6,529.3,781.5,960.7,1116.0,1278.3,1422.9,1617.8,1609.0,1834.1,1968.5,2011.5,1986.3,1926.9,2133.4,2376.2,2485.2,2608.1,2644.7,2765.2,3031.76,3579.9,1252.9
ITA,32457.0,33948.0,35394.0,36359.0,37880.0,36332.0,39118.0,36361.0,39211.0,39688.0,39587.0,40090.0,39542.0,38840.0,39045.0,37401.0,40500.0,41395.0,43343.0,44443.0,44709.0,45065.0,44409.0,42720.0,43375.0,43859.0,44782.0,43591.0,41392.0,43424.0,47133.0,46752.0,45956.0,45222.0,49254.0,50088.0,50185.0,49780.0,49524.0,48124.0,47172.0,46845.0,46759.0,48739.0,49957.0,52207.0,52178.0,53231.0,55493.0,56586.0,22398.0
JPN,288816.0,290040.0,300298.0,314037.0,324170.0,323800.0,319566.0,312297.0,311129.0,312460.0,314542.0,316204.0,316347.0,321452.0,324136.0,330102.0,334741.0,344737.0,361771.0,368818.0,387478.0,400084.0,402287.0,402792.0,396406.0,400084.0,402156.0,395278.0,388917.0,385098.0,384287.0,385402.0,382239.0,385012.0,385163.0,391215.0,395908.0,405544.0,404585.0,393765.0,393466.0,395067.0,404396.0,414387.0,413970.0,427486.0,431799.0,437363.0,441614.0,435063.0,
KAZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14587.4,14130.5,14519.9,15799.7,16482.8,19081.1,20619.0,23750.5,21614.8,17321.8,17961.5,18509.5,17700.0,8649.3
KOR,9819.0,8750.0,10062.0,10270.0,11283.0,13269.0,14693.0,17650.0,20837.0,22290.0,22566.0,22786.0,22343.0,23244.0,24194.0,27072.0,30791.0,32421.0,34535.0,36742.0,41093.0,45361.0,47757.0,46861.0,45254.0,43340.0,42439.0,41764.0,44121.0,46851.0,49558.0,59151.0,51929.0,50983.0,52749.0,54641.0,55526.0,55730.0,56766.0,55489.0,58381.0,63044.0,70079.0,66353.0,67860.0,68371.0,86871.0,89964.0,92285.0,104321.0,
LTU,2132.0,2285.0,2421.0,2477.0,2537.0,2594.0,2711.0,2943.0,3072.0,3168.0,3258.0,3314.0,3324.0,3331.0,3377.0,3417.0,3494.0,3565.0,3665.0,3470.0,3640.0,3225.0,2740.0,2700.0,1574.0,1130.0,954.0,842.0,800.0,745.0,611.0,533.0,498.0,432.0,443.0,428.0,431.0,409.0,398.0,357.0,373.0,389.0,403.0,391.0,373.0,361.0,396.0,424.0,468.0,479.0,260.0
LUX,205.0,207.0,208.0,217.0,231.0,234.0,240.0,240.0,239.0,241.0,246.0,252.0,251.0,239.0,232.0,229.0,224.0,216.0,223.0,224.0,208.0,227.0,255.0,262.0,289.0,286.0,284.0,295.0,300.0,310.0,332.0,346.0,268.0,262.0,266.0,272.0,298.0,316.0,345.0,333.0,347.0,349.0,373.0,394.0,409.0,418.0,418.0,438.0,442.0,463.0,269.0
LVA,3817.0,3891.0,3953.0,4060.0,4112.0,4449.0,4411.0,4460.0,4607.0,4657.0,4774.0,4880.0,4978.0,5149.0,5310.0,5214.0,5573.0,5673.0,5761.0,5449.0,5366.0,3930.0,3656.0,2359.0,1794.0,1373.0,1182.0,1148.0,1059.0,984.0,715.0,706.0,744.0,762.0,811.0,894.0,992.0,983.0,951.0,756.0,749.0,741.0,725.0,729.0,649.0,591.0,584.0,596.0,624.0,643.0,413.0
MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,1776.0,1856.0,1875.0,1880.0,1956.0,2019.0,2145.0,2374.0,2644.0,2987.0,3333.0,3659.0,3820.0,4190.0,4398.0,4819.0,5114.0,5397.0,5449.0,5507.0,5208.0,4923.0,,,
MDA,755.0,865.0,877.0,893.0,965.0,1227.0,1016.0,1159.0,1114.0,1389.0,1431.0,1339.0,1329.0,1513.0,1587.0,1648.0,1685.0,1766.0,1803.0,1691.0,1626.0,1524.0,1718.0,1661.0,1204.0,1019.0,882.0,789.0,656.0,343.0,315.0,325.0,355.0,352.0,346.0,355.0,471.0,468.0,486.0,423.0,399.0,363.0,347.0,330.0,257.0,181.0,122.0,99.0,94.6,74.1,29.19
MEX,4534.0,4362.0,4485.0,4057.0,4614.0,4123.0,4058.0,5040.0,5326.0,5253.0,5296.0,5305.0,5261.0,5630.0,5951.0,6015.0,5870.0,5828.0,5619.0,5383.0,5336.0,4686.0,4794.0,3219.0,3710.0,1899.0,1799.0,1508.0,460.0,254.0,82.0,67.0,69.0,78.0,74.0,73.0,76.0,84.0,178.0,449.0,843.0,891.0,970.0,1036.0,1150.0,1411.0,1481.0,1550.0,1591.0,1571.0,523.0
MKD,344.0,348.0,345.0,371.0,367.0,371.0,344.0,380.0,383.0,369.0,358.0,349.0,396.0,412.0,405.0,417.0,436.0,410.0,385.0,371.0,355.0,200.0,109.0,66.0,67.0,65.0,120.0,141.0,150.0,150.0,176.0,133.0,98.0,92.0,94.0,94.0,105.0,109.0,148.0,154.0,155.0,145.0,99.0,80.0,80.0,178.0,83.0,59.0,64.0,62.0,25.0
